"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","io-16x-fused-fm:C0805","1",""
"C2","100nF","io-16x-fused-fm:C0805","1",""
"C25","1uF","io-16x-fused-fm:C0805","1",""
"C26","10nF","io-16x-fused-fm:C0805","1",""
"C27","100nF","io-16x-fused-fm:C0805","1",""
"C28","1uF","io-16x-fused-fm:C0805","1",""
"C29","220pF","io-16x-fused-fm:C0805","1",""
"C30","100pF","io-16x-fused-fm:C0805","1",""
"C31","10nF","io-16x-fused-fm:C0805","1",""
"C32","100nF","io-16x-fused-fm:C0805","1",""
"C33","100nF","io-16x-fused-fm:C0805","1",""
"C34","100nF","io-16x-fused-fm:C0805","1",""
"C35","100nF","io-16x-fused-fm:C0805","1",""
"C36","100nF","io-16x-fused-fm:C0805","1",""
"D1","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D2","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D3","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D4","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D5","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D6","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D7","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D8","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D9","BAT54C","io-16x-fused-fm:SOT23","1",""
"D10","BAT54C","io-16x-fused-fm:SOT23","1",""
"D11","BAT54C","io-16x-fused-fm:SOT23","1",""
"D12","BAT54C","io-16x-fused-fm:SOT23","1",""
"D13","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D14","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D15","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D16","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D17","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D18","DDZ9684","io-16x-fused-fm:SOD-123","1",""
"D19","DDZ9684","io-16x-fused-fm:SOD-123","1",""
